Time [s],Dn,Dp,out_en
0.251836510,0,1,0
0.252469070,1,0,0
0.252469150,0,1,0
0.252469240,1,0,0
0.252469320,0,1,0
0.252469400,1,0,0
0.252469480,1,1,0
0.252469490,0,1,0
0.252469570,1,0,0
0.252469820,0,1,0
0.252469990,1,0,0
0.252470070,0,1,0
0.252470240,1,0,0
0.252470490,0,1,0
0.252470570,1,0,0
0.252470650,0,1,0
0.252470740,1,0,0
0.252470820,0,1,0
0.252471400,1,0,0
0.252471570,0,1,0
0.252471820,0,0,0
0.252471990,0,1,0
0.253469070,1,0,0
0.253469150,0,1,0
0.253469230,1,0,0
0.253469320,0,1,0
0.253469400,1,0,0
0.253469480,0,1,0
0.253469570,1,0,0
0.253469820,0,1,0
0.253469980,1,0,0
0.253470070,0,1,0
0.253470230,1,0,0
0.253470400,0,1,0
0.253470570,1,0,0
0.253470650,0,1,0
0.253470730,1,0,0
0.253470820,0,1,0
0.253471400,1,0,0
0.253471570,0,1,0
0.253471650,1,0,0
0.253471820,0,0,0
0.253471980,0,1,0
0.254469060,0,0,0
0.254469070,1,0,0
0.254469150,0,1,0
0.254469230,1,0,0
0.254469310,0,1,0
0.254469400,1,0,0
0.254469480,0,1,0
0.254469560,1,0,0
0.254469810,0,1,0
0.254469980,1,0,0
0.254470060,0,1,0
0.254470230,1,0,0
0.254470560,0,1,0
0.254470650,1,0,0
0.254470730,0,1,0
0.254470810,1,0,0
0.254471310,0,1,0
0.254471400,1,0,0
0.254471650,0,1,0
0.254471730,0,0,0
0.254471900,0,1,0
0.255469060,1,0,0
0.255469140,0,1,0
0.255469230,1,0,0
0.255469310,0,1,0
0.255469390,1,0,0
0.255469480,0,1,0
0.255469560,1,0,0
0.255469810,0,1,0
0.255469980,1,0,0
0.255470060,0,1,0
0.255470230,1,0,0
0.255470390,0,1,0
0.255470480,1,0,0
0.255470640,0,1,0
0.255470730,1,0,0
0.255470810,0,1,0
0.255471390,1,0,0
0.255471560,0,1,0
0.255471640,1,0,0
0.255471730,0,1,0
0.255471810,0,0,0
0.255471980,0,1,0
0.255473150,1,0,0
0.255473230,0,1,0
0.255473310,1,0,0
0.255473390,0,1,0
0.255473480,1,0,0
0.255473560,0,1,0
0.255473640,1,0,0
0.255473890,0,1,0
0.255473980,1,0,0
0.255474140,0,1,0
0.255474390,1,0,0
0.255474480,0,1,0
0.255474640,1,0,0
0.255474730,0,1,0
0.255474810,1,0,0
0.255474890,0,1,0
0.255474980,1,0,0
0.255475060,0,1,0
0.255475230,1,0,0
0.255475310,0,1,0
0.255475390,1,0,0
0.255475480,0,1,0
0.255475560,1,0,0
0.255475640,0,1,0
0.255475810,0,0,0
0.255475980,0,1,0
0.256448060,1,0,0
0.256448140,0,1,0
0.256448220,1,1,0
0.256448230,1,0,0
0.256448310,0,1,0
0.256448390,1,0,0
0.256448470,0,1,0
0.256448560,1,0,0
0.256448810,0,1,0
0.256449060,1,0,0
0.256449220,0,1,0
