Time [s],Dn,Dp
0.127263242,0,1
0.127753600,1,0
0.127753680,0,1
0.127753760,1,0
0.127753840,0,0
0.127753850,0,1
0.127753930,1,0
0.127754010,0,1
0.127754100,1,0
0.127754350,0,1
0.127754510,1,0
0.127754590,0,0
0.127754600,0,1
0.127754760,1,0
0.127754930,0,1
0.127755100,1,0
0.127755430,0,1
0.127755510,1,0
0.127755590,0,0
0.127755600,0,1
0.127755680,1,0
0.127755850,0,1
0.127756010,1,0
0.127756090,0,0
0.127756100,0,1
0.127756180,1,0
0.127756260,0,0
0.127756430,0,1
0.127895680,1,0
0.127895760,0,1
0.127895850,1,0
0.127895930,0,1
0.127896010,1,0
0.127896090,0,0
0.127896100,0,1
0.127896180,1,0
0.127896430,0,1
0.127896680,1,0
0.127896850,0,1
0.127896930,1,0
0.127897010,0,1
0.127897100,1,0
0.127897180,0,1
0.127897260,1,0
0.127897340,0,0
0.127897350,0,1
0.127897430,1,0
0.127897510,0,1
0.127897600,1,0
0.127897680,0,1
0.127897760,1,0
0.127897840,0,0
0.127897850,0,1
0.127897930,1,0
0.127898100,0,1
0.127898180,1,0
0.127898260,0,1
0.127898350,0,0
0.127898510,0,1
0.127898850,1,0
0.127898930,0,1
0.127899010,1,0
0.127899090,0,0
0.127899100,0,1
0.127899180,1,0
0.127899260,0,1
0.127899350,1,0
0.127899680,0,1
0.127899760,1,0
0.127899840,0,0
0.127899850,0,1
0.127899930,1,0
0.127900180,0,1
0.127900260,1,0
0.127900340,0,0
0.127900350,0,1
0.127900430,1,0
0.127900510,0,1
0.127900600,1,0
0.127900680,0,1
0.127900850,1,0
0.127901100,0,1
0.127901180,1,0
0.127901260,0,1
0.127901340,0,0
0.127901350,1,0
0.127901430,0,1
0.127901510,1,0
0.127901590,0,0
0.127901600,0,1
0.127901680,1,0
0.127901760,0,1
0.127901840,0,0
0.127901850,1,0
0.127901930,0,1
0.127902010,1,0
0.127902090,0,0
0.127902100,0,1
0.127902260,1,0
0.127902340,0,0
0.127902350,0,1
0.127902430,1,0
0.127902510,0,1
0.127902590,0,0
0.127902600,1,0
0.127902680,0,1
0.127902760,1,0
0.127902840,0,0
0.127902850,0,1
0.127902930,1,0
0.127903010,0,1
0.127903090,0,0
0.127903100,1,0
0.127903180,0,1
0.127903260,1,0
0.127903340,0,0
0.127903350,0,1
0.127903430,1,0
0.127903510,0,1
0.127903600,1,0
0.127903680,0,1
0.127903760,1,0
0.127903840,0,0
0.127903850,0,1
0.127903930,1,0
0.127904010,0,1
0.127904090,0,0
0.127904100,1,0
0.127904180,0,1
0.127904260,1,0
0.127904340,0,0
0.127904350,0,1
0.127904430,1,0
0.127904510,0,1
0.127904600,1,0
0.127904760,0,1
0.127904840,0,0
0.127904850,1,0
0.127904930,0,1
0.127905010,1,0
0.127905090,0,0
0.127905100,0,1
0.127905180,1,0
0.127905260,0,1
0.127905340,0,0
0.127905350,1,0
0.127905430,0,1
0.127905600,1,0
0.127905930,0,1
0.127906180,1,0
0.127906260,0,1
0.127906430,1,0
0.127906600,0,1
0.127906680,1,0
0.127906850,0,0
0.127907010,0,1
0.127907210,1,0
0.127907290,0,1
0.127907370,1,0
0.127907460,0,1
0.127907540,1,0
0.127907620,0,1
0.127907710,1,0
0.127907870,0,1
0.127908040,1,0
0.127908120,0,1
0.127908290,1,0
0.127908540,0,0
0.127908710,0,1
0.128014680,1,0
0.128014760,0,1
0.128014850,1,0
0.128014930,0,1
0.128015010,1,0
0.128015090,0,1
0.128015180,1,0
0.128015430,0,1
0.128015510,1,0
0.128015680,0,1
0.128015930,1,0
0.128016010,0,1
0.128016090,0,0
0.128016100,1,0
0.128016180,0,1
0.128016260,1,0
0.128016340,0,1
0.128016430,1,0
0.128016510,0,1
0.128016590,0,0
0.128016600,1,0
0.128016680,0,1
0.128016760,1,0
0.128016840,0,1
0.128016930,1,0
0.128017090,0,0
0.128017100,0,1
0.128017180,1,0
0.128017260,0,1
0.128017340,0,0
0.128017510,0,1
0.128017730,1,0
0.128017810,0,1
0.128017900,1,0
0.128017980,0,1
0.128018060,1,0
0.128018140,1,1
0.128018150,0,1
0.128018230,0,0
0.128018240,1,0
0.128018560,0,1
0.128018650,1,0
0.128018730,0,1
0.128018810,1,0
0.128019060,0,1
0.128019230,0,0
0.128019240,1,0
0.128019310,0,1
0.128019480,1,0
0.128019560,0,1
0.128019640,1,1
0.128019650,1,0
0.128019810,0,1
0.128019890,1,1
0.128019900,1,0
0.128019980,0,1
0.128020060,1,0
0.128020140,1,1
0.128020150,0,1
0.128020230,0,0
0.128020240,1,0
0.128020310,0,1
0.128020480,1,0
0.128020560,0,1
0.128020640,1,1
0.128020650,1,0
0.128020730,0,1
0.128020810,1,0
0.128020890,1,1
0.128020900,0,1
0.128020980,0,0
0.128020990,1,0
0.128021140,1,1
0.128021150,0,1
0.128021230,0,0
0.128021240,1,0
0.128021310,0,1
0.128021400,1,0
0.128021480,0,1
0.128021560,1,0
0.128021640,1,1
0.128021650,0,1
0.128021730,0,0
0.128021740,1,0
0.128021810,0,1
0.128021890,1,1
0.128021900,1,0
0.128021980,0,1
0.128022060,1,0
0.128022140,1,1
0.128022150,0,1
0.128022230,0,0
0.128022240,1,0
0.128022310,0,1
0.128022390,1,1
0.128022400,1,0
0.128022480,0,1
0.128022560,1,0
0.128022640,1,1
0.128022650,0,1
0.128022730,0,0
0.128022740,1,0
0.128022810,0,1
0.128022900,1,0
0.128022980,0,1
0.128023060,1,0
0.128023140,1,1
0.128023150,0,1
0.128023230,0,0
0.128023240,1,0
0.128023310,0,1
0.128023390,1,1
0.128023400,1,0
0.128023480,0,1
0.128023560,1,0
0.128023640,1,1
0.128023650,0,1
0.128023730,0,0
0.128023740,1,0
0.128023810,0,1
0.128023890,1,1
0.128023900,1,0
0.128023980,0,1
0.128024060,1,0
0.128024140,1,1
0.128024150,0,1
0.128024310,1,0
0.128024390,1,1
0.128024400,0,1
0.128024560,1,0
0.128024640,1,1
0.128024650,0,1
0.128024810,1,0
0.128024890,1,1
0.128024900,0,1
0.128024980,0,0
0.128024990,1,0
0.128025060,0,1
0.128025140,1,1
0.128025150,1,0
0.128025230,0,1
0.128025310,1,0
0.128025390,1,1
0.128025400,0,1
0.128025480,0,0
0.128025490,1,0
0.128025560,0,1
0.128025640,1,1
0.128025650,1,0
0.128025730,0,0
0.128025890,0,1
0.128026430,1,0
0.128026510,0,1
0.128026590,0,0
0.128026600,1,0
0.128026680,0,1
0.128026760,1,0
0.128026840,0,1
0.128026930,1,0
0.128027100,0,1
0.128027260,1,0
0.128027340,0,1
