Time [s],Dn,Dp
0.088508476,0,1
0.088633360,1,0
0.088633440,0,1
0.088633520,1,0
0.088633610,0,1
0.088633690,1,0
0.088633770,0,1
0.088633860,1,0
0.088634110,0,1
0.088634270,1,0
0.088634360,0,1
0.088634520,1,0
0.088634690,0,1
0.088634940,1,0
0.088635020,0,1
0.088635110,1,0
0.088635190,0,1
0.088635270,1,0
0.088635440,0,1
0.088635520,1,0
0.088635860,0,1
0.088636020,0,0
0.088636190,0,1
0.089011680,1,0
0.089011760,0,1
0.089011840,1,0
0.089011920,0,1
0.089012010,1,0
0.089012090,0,1
0.089012170,1,0
0.089012420,0,1
0.089012670,0,0
0.089012680,1,0
0.089012840,0,1
0.089012920,1,0
0.089013010,0,1
0.089013090,1,0
0.089013170,0,1
0.089013260,1,0
0.089013340,0,1
0.089013420,1,0
0.089013510,0,1
0.089013590,1,0
0.089013670,0,1
0.089013760,1,0
0.089013840,0,1
0.089013920,1,0
0.089014090,0,1
0.089014170,1,0
0.089014260,0,1
0.089014340,0,0
0.089014510,0,1
0.089014930,1,0
0.089015010,0,1
0.089015090,1,0
0.089015170,0,1
0.089015260,1,0
0.089015340,0,1
0.089015420,1,0
0.089015760,0,1
0.089015840,1,0
0.089015920,0,1
0.089016010,1,0
0.089016260,0,1
0.089016340,1,0
0.089016420,0,1
0.089016510,1,0
0.089016590,0,1
0.089016670,1,0
0.089016760,0,1
0.089016920,1,0
0.089017170,0,1
0.089017260,1,0
0.089017340,0,1
0.089017420,1,0
0.089017510,0,1
0.089017590,1,0
0.089017670,0,1
0.089017760,1,0
0.089017840,0,1
0.089017920,1,0
0.089018010,0,1
0.089018090,1,0
0.089018170,0,1
0.089018340,1,0
0.089018420,0,1
0.089018510,1,0
0.089018590,0,1
0.089018670,1,0
0.089018760,0,1
0.089018840,1,0
0.089018920,0,1
0.089019010,1,0
0.089019090,0,1
0.089019170,1,0
0.089019260,0,1
0.089019340,1,0
0.089019420,0,1
0.089019510,1,0
0.089019590,0,1
0.089019670,1,0
0.089019760,0,1
0.089019840,1,0
0.089019920,0,1
0.089020010,1,0
0.089020090,0,1
0.089020170,1,0
0.089020260,0,1
0.089020340,1,0
0.089020420,0,1
0.089020510,1,0
0.089020590,0,1
0.089020670,1,0
0.089020840,0,1
0.089020920,1,0
0.089021010,0,1
0.089021090,1,0
0.089021170,0,1
0.089021260,1,0
0.089021340,0,1
0.089021420,1,0
0.089021510,0,1
0.089021670,1,0
0.089022010,0,1
0.089022260,1,0
0.089022340,0,1
0.089022510,1,0
0.089022670,0,1
0.089022760,1,0
0.089022920,0,0
0.089023090,0,1
0.089023310,0,0
0.089023320,1,0
0.089023390,0,1
0.089023480,0,0
0.089023490,1,0
0.089023560,0,1
0.089023640,1,0
0.089023730,0,1
0.089023810,0,0
0.089023820,1,0
0.089023980,0,1
0.089024140,1,0
0.089024230,1,1
0.089024240,0,1
0.089024390,1,0
0.089024640,0,0
0.089024890,0,1
0.089633380,1,0
0.089633460,0,1
0.089633550,1,0
0.089633630,0,1
0.089633710,1,1
0.089633720,1,0
0.089633800,0,1
0.089633880,1,0
0.089634130,0,1
0.089634300,1,0
0.089634380,0,1
0.089634550,1,0
0.089634960,0,1
0.089635050,1,0
0.089635130,0,1
0.089635210,1,1
0.089635220,1,0
0.089635300,0,1
0.089635460,1,1
0.089635470,1,0
0.089635550,0,1
0.089635630,1,0
0.089635710,0,1
0.089635800,1,0
0.089635960,0,1
0.089636050,0,0
0.089636220,0,1
0.090633360,1,0
0.090633440,0,1
0.090633520,1,0
0.090633600,1,1
0.090633610,0,1
0.090633690,1,0
0.090633770,0,1
0.090633860,1,0
0.090634110,0,1
0.090634270,1,0
0.090634350,1,1
0.090634360,0,1
0.090634520,1,0
0.090634690,0,1
0.090634770,1,0
0.090634850,1,1
0.090634860,0,1
0.090635020,1,0
0.090635100,1,1
0.090635110,0,1
0.090635190,1,0
0.090635270,0,1
0.090635440,1,0
0.090635520,0,1
0.090635690,1,0
0.090635770,0,1
0.090635940,1,0
0.090636020,0,0
0.090636190,0,1
0.091011170,1,0
0.091011260,0,1
0.091011340,1,0
0.091011420,0,1
0.091011510,1,0
0.091011590,0,1
0.091011670,1,0
0.091011920,0,1
0.091012010,1,0
0.091012170,0,1
0.091012420,1,0
0.091012510,0,1
0.091012590,1,0
0.091012670,0,1
0.091012760,1,0
0.091012840,0,1
0.091012920,1,0
0.091013010,0,1
0.091013090,1,0
0.091013170,0,1
0.091013260,1,0
0.091013340,0,1
0.091013420,1,0
0.091013590,0,1
0.091013670,1,0
0.091013760,0,1
0.091013840,0,0
0.091014010,0,1
0.091017510,1,0
0.091017590,0,1
0.091017670,1,0
0.091017750,1,1
0.091017760,0,1
0.091017840,1,0
0.091017920,0,1
0.091018010,1,0
0.091018260,0,1
0.091018340,1,0
0.091018510,0,1
0.091018760,1,0
0.091018840,0,1
0.091018920,1,0
0.091019010,0,1
0.091019090,1,0
0.091019170,0,1
0.091019260,1,0
0.091019340,0,1
0.091019420,1,0
0.091019500,1,1
0.091019510,0,1
0.091019590,1,0
0.091019670,0,1
0.091019760,1,0
0.091019920,0,1
0.091020010,1,0
0.091020090,0,1
0.091020170,0,0
0.091020340,0,1
0.091023840,1,0
0.091023920,0,1
0.091024010,1,0
0.091024090,0,1
0.091024170,1,0
0.091024250,1,1
0.091024260,0,1
0.091024340,1,0
0.091024590,0,1
0.091024670,1,0
0.091024840,0,1
0.091025090,1,0
0.091025170,0,1
0.091025260,1,0
0.091025340,0,1
0.091025420,1,0
0.091025500,1,1
0.091025510,0,1
0.091025590,1,0
0.091025670,0,1
0.091025760,1,0
0.091025840,0,1
0.091025920,1,0
0.091026000,1,1
0.091026010,0,1
0.091026090,1,0
0.091026250,1,1
0.091026260,0,1
0.091026340,1,0
0.091026420,0,1
0.091026510,0,0
0.091026670,0,1
0.091231290,0,1
