Time [s],Dn,Dp
0.087833146,0,1
0.088082840,1,1
0.088082842,1,0
0.088082922,0,1
0.088083006,1,0
0.088083088,0,0
0.088083090,0,1
0.088083174,1,0
0.088083256,0,1
0.088083340,1,0
0.088083590,0,1
0.088083840,1,0
0.088084006,0,1
0.088084090,1,0
0.088084172,0,1
0.088084256,1,0
0.088084338,0,0
0.088084340,0,1
0.088084422,1,1
0.088084424,1,0
0.088084506,0,1
0.088084590,1,0
0.088084672,0,1
0.088084756,1,0
0.088084838,0,0
0.088084840,0,1
0.088084922,1,1
0.088084924,1,0
0.088085006,0,1
0.088085090,1,0
0.088085256,0,1
0.088085340,1,0
0.088085422,0,1
0.088085508,0,0
0.088085674,0,1
0.088086090,1,1
0.088086092,1,0
0.088086172,0,1
0.088086256,1,0
0.088086338,0,1
0.088086422,1,1
0.088086424,1,0
0.088086506,0,1
0.088086590,1,0
0.088086922,0,1
0.088087006,1,0
0.088087088,0,0
0.088087090,0,1
0.088087172,1,1
0.088087174,1,0
0.088087422,0,1
0.088087506,1,0
0.088087588,0,0
0.088087590,0,1
0.088087672,1,1
0.088087674,1,0
0.088087756,0,1
0.088087840,1,0
0.088087922,0,1
0.088088090,1,0
0.088088340,0,1
0.088088422,1,0
0.088088506,0,1
0.088088590,1,0
0.088088672,0,1
0.088088756,1,0
0.088088838,0,0
0.088088840,0,1
0.088088922,1,1
0.088088924,1,0
0.088089006,0,1
0.088089090,1,0
0.088089172,0,1
0.088089256,1,0
0.088089338,0,1
0.088089506,1,0
0.088089588,0,1
0.088089672,1,0
0.088089756,0,1
0.088089840,1,0
0.088089922,0,1
0.088090006,1,0
0.088090088,0,1
0.088090172,1,0
0.088090256,0,1
0.088090340,1,0
0.088090422,0,1
0.088090506,1,0
0.088090588,0,0
0.088090590,0,1
0.088090672,1,0
0.088090756,0,1
0.088090840,1,0
0.088090922,0,1
0.088091006,1,0
0.088091088,0,1
0.088091172,1,0
0.088091256,0,1
0.088091340,1,0
0.088091422,0,1
0.088091506,1,0
0.088091588,0,1
0.088091672,1,0
0.088091756,0,1
0.088091840,1,0
0.088092006,0,1
0.088092088,1,1
0.088092090,1,0
0.088092172,0,1
0.088092256,1,0
0.088092338,0,1
0.088092422,1,0
0.088092506,0,1
0.088092590,1,0
0.088092672,0,1
0.088092840,1,0
0.088093172,0,1
0.088093422,1,0
0.088093506,0,1
0.088093672,1,0
0.088093838,1,1
0.088093840,0,1
0.088093922,1,0
0.088094090,0,0
0.088094258,0,1
0.088097756,1,0
0.088097838,0,1
0.088097922,1,0
0.088098004,0,0
0.088098006,0,1
0.088098088,1,1
0.088098090,1,0
0.088098172,0,1
0.088098256,1,0
0.088098506,0,1
0.088098756,1,0
0.088098922,0,1
0.088099006,1,0
0.088099088,0,1
0.088099172,1,0
0.088099256,0,1
0.088099338,1,1
0.088099340,1,0
0.088099422,0,1
0.088099506,1,0
0.088099588,0,1
0.088099672,1,0
0.088099756,0,1
0.088099838,1,1
0.088099840,1,0
0.088099922,0,1
0.088100006,1,0
0.088100172,0,1
0.088100256,1,0
0.088100338,0,1
0.088100424,0,0
0.088100590,0,1
0.088101006,1,0
0.088101088,0,1
0.088101172,1,0
0.088101254,0,0
0.088101256,0,1
0.088101338,1,1
0.088101340,1,0
0.088101422,0,1
0.088101506,1,0
0.088101838,0,1
0.088101922,1,0
0.088102006,0,1
0.088102088,1,1
0.088102090,1,0
0.088102338,0,1
0.088102422,1,0
