Time [s],Dn,Dp
0.010539033,0,1
0.010632640,1,0
0.010632720,0,1
0.010632804,1,1
0.010632806,1,0
0.010632888,0,1
0.010632972,1,0
0.010633054,0,1
0.010633138,1,0
0.010633388,0,1
0.010633554,1,0
0.010633638,0,1
0.010633806,1,0
0.010633970,0,1
0.010634054,1,0
0.010634220,0,1
0.010634304,1,0
0.010634388,0,1
0.010634472,1,0
0.010634804,0,1
0.010634888,1,0
0.010634970,0,1
0.010635306,0,0
0.010635472,0,1
0.011632614,1,0
0.011632694,0,1
0.011632778,1,1
0.011632780,1,0
0.011632862,0,1
0.011632946,1,0
0.011633028,0,1
0.011633112,1,0
0.011633362,0,1
0.011633530,1,0
0.011633612,0,1
0.011633780,1,0
0.011634028,0,1
0.011634196,1,0
0.011634278,0,1
0.011634362,1,0
0.011634444,0,1
0.011634780,1,0
0.011635028,0,1
0.011635112,1,0
0.011635194,0,1
0.011635280,0,0
0.011635446,0,1
0.012632638,1,0
0.012632718,0,1
0.012632804,1,0
0.012632886,0,1
0.012632970,1,0
0.012633052,0,1
0.012633136,1,0
0.012633386,0,1
0.012633554,1,0
0.012633636,0,1
0.012633804,1,0
0.012633970,0,1
0.012634220,1,0
0.012634302,0,1
0.012634386,1,0
0.012634468,0,1
0.012634804,1,0
0.012635052,0,1
0.012635220,1,0
0.012635302,0,0
0.012635470,0,1
0.013632612,1,0
0.013632692,0,1
0.013632778,1,0
0.013632860,0,1
0.013632944,1,0
0.013633026,0,1
0.013633110,1,0
0.013633360,0,1
0.013633528,1,0
0.013633610,0,1
0.013633778,1,0
0.013634194,0,1
0.013634276,1,0
0.013634360,0,1
0.013634444,1,0
0.013634776,0,1
0.013634860,1,0
0.013634942,0,1
0.013635110,1,0
0.013635278,0,0
0.013635444,0,1
0.014228332,0,1
